,buying,maint,doors,persons,lug_boot,safety,values
0,4,4,2,2,1,1,unacc
1,4,4,2,2,1,2,unacc
2,4,4,2,2,1,3,unacc
3,4,4,2,2,2,1,unacc
4,4,4,2,2,2,2,unacc
5,4,4,2,2,2,3,unacc
6,4,4,2,2,3,1,unacc
7,4,4,2,2,3,2,unacc
8,4,4,2,2,3,3,unacc
9,4,4,2,4,1,1,unacc
10,4,4,2,4,1,2,unacc
11,4,4,2,4,1,3,unacc
12,4,4,2,4,2,1,unacc
13,4,4,2,4,2,2,unacc
14,4,4,2,4,2,3,unacc
15,4,4,2,4,3,1,unacc
16,4,4,2,4,3,2,unacc
17,4,4,2,4,3,3,unacc
18,4,4,2,6,1,1,unacc
19,4,4,2,6,1,2,unacc
20,4,4,2,6,1,3,unacc
21,4,4,2,6,2,1,unacc
22,4,4,2,6,2,2,unacc
23,4,4,2,6,2,3,unacc
24,4,4,2,6,3,1,unacc
25,4,4,2,6,3,2,unacc
26,4,4,2,6,3,3,unacc
27,4,4,3,2,1,1,unacc
28,4,4,3,2,1,2,unacc
29,4,4,3,2,1,3,unacc
30,4,4,3,2,2,1,unacc
31,4,4,3,2,2,2,unacc
32,4,4,3,2,2,3,unacc
33,4,4,3,2,3,1,unacc
34,4,4,3,2,3,2,unacc
35,4,4,3,2,3,3,unacc
36,4,4,3,4,1,1,unacc
37,4,4,3,4,1,2,unacc
38,4,4,3,4,1,3,unacc
39,4,4,3,4,2,1,unacc
40,4,4,3,4,2,2,unacc
41,4,4,3,4,2,3,unacc
42,4,4,3,4,3,1,unacc
43,4,4,3,4,3,2,unacc
44,4,4,3,4,3,3,unacc
45,4,4,3,6,1,1,unacc
46,4,4,3,6,1,2,unacc
47,4,4,3,6,1,3,unacc
48,4,4,3,6,2,1,unacc
49,4,4,3,6,2,2,unacc
50,4,4,3,6,2,3,unacc
51,4,4,3,6,3,1,unacc
52,4,4,3,6,3,2,unacc
53,4,4,3,6,3,3,unacc
54,4,4,4,2,1,1,unacc
55,4,4,4,2,1,2,unacc
56,4,4,4,2,1,3,unacc
57,4,4,4,2,2,1,unacc
58,4,4,4,2,2,2,unacc
59,4,4,4,2,2,3,unacc
60,4,4,4,2,3,1,unacc
61,4,4,4,2,3,2,unacc
62,4,4,4,2,3,3,unacc
63,4,4,4,4,1,1,unacc
64,4,4,4,4,1,2,unacc
65,4,4,4,4,1,3,unacc
66,4,4,4,4,2,1,unacc
67,4,4,4,4,2,2,unacc
68,4,4,4,4,2,3,unacc
69,4,4,4,4,3,1,unacc
70,4,4,4,4,3,2,unacc
71,4,4,4,4,3,3,unacc
72,4,4,4,6,1,1,unacc
73,4,4,4,6,1,2,unacc
74,4,4,4,6,1,3,unacc
75,4,4,4,6,2,1,unacc
76,4,4,4,6,2,2,unacc
77,4,4,4,6,2,3,unacc
78,4,4,4,6,3,1,unacc
79,4,4,4,6,3,2,unacc
80,4,4,4,6,3,3,unacc
81,4,4,5,2,1,1,unacc
82,4,4,5,2,1,2,unacc
83,4,4,5,2,1,3,unacc
84,4,4,5,2,2,1,unacc
85,4,4,5,2,2,2,unacc
86,4,4,5,2,2,3,unacc
87,4,4,5,2,3,1,unacc
88,4,4,5,2,3,2,unacc
89,4,4,5,2,3,3,unacc
90,4,4,5,4,1,1,unacc
91,4,4,5,4,1,2,unacc
92,4,4,5,4,1,3,unacc
93,4,4,5,4,2,1,unacc
94,4,4,5,4,2,2,unacc
95,4,4,5,4,2,3,unacc
96,4,4,5,4,3,1,unacc
97,4,4,5,4,3,2,unacc
98,4,4,5,4,3,3,unacc
99,4,4,5,6,1,1,unacc
100,4,4,5,6,1,2,unacc
101,4,4,5,6,1,3,unacc
102,4,4,5,6,2,1,unacc
103,4,4,5,6,2,2,unacc
104,4,4,5,6,2,3,unacc
105,4,4,5,6,3,1,unacc
106,4,4,5,6,3,2,unacc
107,4,4,5,6,3,3,unacc
108,4,3,2,2,1,1,unacc
109,4,3,2,2,1,2,unacc
110,4,3,2,2,1,3,unacc
111,4,3,2,2,2,1,unacc
112,4,3,2,2,2,2,unacc
113,4,3,2,2,2,3,unacc
114,4,3,2,2,3,1,unacc
115,4,3,2,2,3,2,unacc
116,4,3,2,2,3,3,unacc
117,4,3,2,4,1,1,unacc
118,4,3,2,4,1,2,unacc
119,4,3,2,4,1,3,unacc
120,4,3,2,4,2,1,unacc
121,4,3,2,4,2,2,unacc
122,4,3,2,4,2,3,unacc
123,4,3,2,4,3,1,unacc
124,4,3,2,4,3,2,unacc
125,4,3,2,4,3,3,unacc
126,4,3,2,6,1,1,unacc
127,4,3,2,6,1,2,unacc
128,4,3,2,6,1,3,unacc
129,4,3,2,6,2,1,unacc
130,4,3,2,6,2,2,unacc
131,4,3,2,6,2,3,unacc
132,4,3,2,6,3,1,unacc
133,4,3,2,6,3,2,unacc
134,4,3,2,6,3,3,unacc
135,4,3,3,2,1,1,unacc
136,4,3,3,2,1,2,unacc
137,4,3,3,2,1,3,unacc
138,4,3,3,2,2,1,unacc
139,4,3,3,2,2,2,unacc
140,4,3,3,2,2,3,unacc
141,4,3,3,2,3,1,unacc
142,4,3,3,2,3,2,unacc
143,4,3,3,2,3,3,unacc
144,4,3,3,4,1,1,unacc
145,4,3,3,4,1,2,unacc
146,4,3,3,4,1,3,unacc
147,4,3,3,4,2,1,unacc
148,4,3,3,4,2,2,unacc
149,4,3,3,4,2,3,unacc
150,4,3,3,4,3,1,unacc
151,4,3,3,4,3,2,unacc
152,4,3,3,4,3,3,unacc
153,4,3,3,6,1,1,unacc
154,4,3,3,6,1,2,unacc
155,4,3,3,6,1,3,unacc
156,4,3,3,6,2,1,unacc
157,4,3,3,6,2,2,unacc
158,4,3,3,6,2,3,unacc
159,4,3,3,6,3,1,unacc
160,4,3,3,6,3,2,unacc
161,4,3,3,6,3,3,unacc
162,4,3,4,2,1,1,unacc
163,4,3,4,2,1,2,unacc
164,4,3,4,2,1,3,unacc
165,4,3,4,2,2,1,unacc
166,4,3,4,2,2,2,unacc
167,4,3,4,2,2,3,unacc
168,4,3,4,2,3,1,unacc
169,4,3,4,2,3,2,unacc
170,4,3,4,2,3,3,unacc
171,4,3,4,4,1,1,unacc
172,4,3,4,4,1,2,unacc
173,4,3,4,4,1,3,unacc
174,4,3,4,4,2,1,unacc
175,4,3,4,4,2,2,unacc
176,4,3,4,4,2,3,unacc
177,4,3,4,4,3,1,unacc
178,4,3,4,4,3,2,unacc
179,4,3,4,4,3,3,unacc
180,4,3,4,6,1,1,unacc
181,4,3,4,6,1,2,unacc
182,4,3,4,6,1,3,unacc
183,4,3,4,6,2,1,unacc
184,4,3,4,6,2,2,unacc
185,4,3,4,6,2,3,unacc
186,4,3,4,6,3,1,unacc
187,4,3,4,6,3,2,unacc
188,4,3,4,6,3,3,unacc
189,4,3,5,2,1,1,unacc
190,4,3,5,2,1,2,unacc
191,4,3,5,2,1,3,unacc
192,4,3,5,2,2,1,unacc
193,4,3,5,2,2,2,unacc
194,4,3,5,2,2,3,unacc
195,4,3,5,2,3,1,unacc
196,4,3,5,2,3,2,unacc
197,4,3,5,2,3,3,unacc
198,4,3,5,4,1,1,unacc
199,4,3,5,4,1,2,unacc
200,4,3,5,4,1,3,unacc
201,4,3,5,4,2,1,unacc
202,4,3,5,4,2,2,unacc
203,4,3,5,4,2,3,unacc
204,4,3,5,4,3,1,unacc
205,4,3,5,4,3,2,unacc
206,4,3,5,4,3,3,unacc
207,4,3,5,6,1,1,unacc
208,4,3,5,6,1,2,unacc
209,4,3,5,6,1,3,unacc
210,4,3,5,6,2,1,unacc
211,4,3,5,6,2,2,unacc
212,4,3,5,6,2,3,unacc
213,4,3,5,6,3,1,unacc
214,4,3,5,6,3,2,unacc
215,4,3,5,6,3,3,unacc
216,4,2,2,2,1,1,unacc
217,4,2,2,2,1,2,unacc
218,4,2,2,2,1,3,unacc
219,4,2,2,2,2,1,unacc
220,4,2,2,2,2,2,unacc
221,4,2,2,2,2,3,unacc
222,4,2,2,2,3,1,unacc
223,4,2,2,2,3,2,unacc
224,4,2,2,2,3,3,unacc
225,4,2,2,4,1,1,unacc
226,4,2,2,4,1,2,unacc
227,4,2,2,4,1,3,acc
228,4,2,2,4,2,1,unacc
229,4,2,2,4,2,2,unacc
230,4,2,2,4,2,3,acc
231,4,2,2,4,3,1,unacc
232,4,2,2,4,3,2,acc
233,4,2,2,4,3,3,acc
234,4,2,2,6,1,1,unacc
235,4,2,2,6,1,2,unacc
236,4,2,2,6,1,3,unacc
237,4,2,2,6,2,1,unacc
238,4,2,2,6,2,2,unacc
239,4,2,2,6,2,3,acc
240,4,2,2,6,3,1,unacc
241,4,2,2,6,3,2,acc
242,4,2,2,6,3,3,acc
243,4,2,3,2,1,1,unacc
244,4,2,3,2,1,2,unacc
245,4,2,3,2,1,3,unacc
246,4,2,3,2,2,1,unacc
247,4,2,3,2,2,2,unacc
248,4,2,3,2,2,3,unacc
249,4,2,3,2,3,1,unacc
250,4,2,3,2,3,2,unacc
251,4,2,3,2,3,3,unacc
252,4,2,3,4,1,1,unacc
253,4,2,3,4,1,2,unacc
254,4,2,3,4,1,3,acc
255,4,2,3,4,2,1,unacc
256,4,2,3,4,2,2,unacc
257,4,2,3,4,2,3,acc
258,4,2,3,4,3,1,unacc
259,4,2,3,4,3,2,acc
260,4,2,3,4,3,3,acc
261,4,2,3,6,1,1,unacc
262,4,2,3,6,1,2,unacc
263,4,2,3,6,1,3,acc
264,4,2,3,6,2,1,unacc
265,4,2,3,6,2,2,acc
266,4,2,3,6,2,3,acc
267,4,2,3,6,3,1,unacc
268,4,2,3,6,3,2,acc
269,4,2,3,6,3,3,acc
270,4,2,4,2,1,1,unacc
271,4,2,4,2,1,2,unacc
272,4,2,4,2,1,3,unacc
273,4,2,4,2,2,1,unacc
274,4,2,4,2,2,2,unacc
275,4,2,4,2,2,3,unacc
276,4,2,4,2,3,1,unacc
277,4,2,4,2,3,2,unacc
278,4,2,4,2,3,3,unacc
279,4,2,4,4,1,1,unacc
280,4,2,4,4,1,2,unacc
281,4,2,4,4,1,3,acc
282,4,2,4,4,2,1,unacc
283,4,2,4,4,2,2,acc
284,4,2,4,4,2,3,acc
285,4,2,4,4,3,1,unacc
286,4,2,4,4,3,2,acc
287,4,2,4,4,3,3,acc
288,4,2,4,6,1,1,unacc
289,4,2,4,6,1,2,unacc
290,4,2,4,6,1,3,acc
291,4,2,4,6,2,1,unacc
292,4,2,4,6,2,2,acc
293,4,2,4,6,2,3,acc
294,4,2,4,6,3,1,unacc
295,4,2,4,6,3,2,acc
296,4,2,4,6,3,3,acc
297,4,2,5,2,1,1,unacc
298,4,2,5,2,1,2,unacc
299,4,2,5,2,1,3,unacc
300,4,2,5,2,2,1,unacc
301,4,2,5,2,2,2,unacc
302,4,2,5,2,2,3,unacc
303,4,2,5,2,3,1,unacc
304,4,2,5,2,3,2,unacc
305,4,2,5,2,3,3,unacc
306,4,2,5,4,1,1,unacc
307,4,2,5,4,1,2,unacc
308,4,2,5,4,1,3,acc
309,4,2,5,4,2,1,unacc
310,4,2,5,4,2,2,acc
311,4,2,5,4,2,3,acc
312,4,2,5,4,3,1,unacc
313,4,2,5,4,3,2,acc
314,4,2,5,4,3,3,acc
315,4,2,5,6,1,1,unacc
316,4,2,5,6,1,2,unacc
317,4,2,5,6,1,3,acc
318,4,2,5,6,2,1,unacc
319,4,2,5,6,2,2,acc
320,4,2,5,6,2,3,acc
321,4,2,5,6,3,1,unacc
322,4,2,5,6,3,2,acc
323,4,2,5,6,3,3,acc
324,4,1,2,2,1,1,unacc
325,4,1,2,2,1,2,unacc
326,4,1,2,2,1,3,unacc
327,4,1,2,2,2,1,unacc
328,4,1,2,2,2,2,unacc
329,4,1,2,2,2,3,unacc
330,4,1,2,2,3,1,unacc
331,4,1,2,2,3,2,unacc
332,4,1,2,2,3,3,unacc
333,4,1,2,4,1,1,unacc
334,4,1,2,4,1,2,unacc
335,4,1,2,4,1,3,acc
336,4,1,2,4,2,1,unacc
337,4,1,2,4,2,2,unacc
338,4,1,2,4,2,3,acc
339,4,1,2,4,3,1,unacc
340,4,1,2,4,3,2,acc
341,4,1,2,4,3,3,acc
342,4,1,2,6,1,1,unacc
343,4,1,2,6,1,2,unacc
344,4,1,2,6,1,3,unacc
345,4,1,2,6,2,1,unacc
346,4,1,2,6,2,2,unacc
347,4,1,2,6,2,3,acc
348,4,1,2,6,3,1,unacc
349,4,1,2,6,3,2,acc
350,4,1,2,6,3,3,acc
351,4,1,3,2,1,1,unacc
352,4,1,3,2,1,2,unacc
353,4,1,3,2,1,3,unacc
354,4,1,3,2,2,1,unacc
355,4,1,3,2,2,2,unacc
356,4,1,3,2,2,3,unacc
357,4,1,3,2,3,1,unacc
358,4,1,3,2,3,2,unacc
359,4,1,3,2,3,3,unacc
360,4,1,3,4,1,1,unacc
361,4,1,3,4,1,2,unacc
362,4,1,3,4,1,3,acc
363,4,1,3,4,2,1,unacc
364,4,1,3,4,2,2,unacc
365,4,1,3,4,2,3,acc
366,4,1,3,4,3,1,unacc
367,4,1,3,4,3,2,acc
368,4,1,3,4,3,3,acc
369,4,1,3,6,1,1,unacc
370,4,1,3,6,1,2,unacc
371,4,1,3,6,1,3,acc
372,4,1,3,6,2,1,unacc
373,4,1,3,6,2,2,acc
374,4,1,3,6,2,3,acc
375,4,1,3,6,3,1,unacc
376,4,1,3,6,3,2,acc
377,4,1,3,6,3,3,acc
378,4,1,4,2,1,1,unacc
379,4,1,4,2,1,2,unacc
380,4,1,4,2,1,3,unacc
381,4,1,4,2,2,1,unacc
382,4,1,4,2,2,2,unacc
383,4,1,4,2,2,3,unacc
384,4,1,4,2,3,1,unacc
385,4,1,4,2,3,2,unacc
386,4,1,4,2,3,3,unacc
387,4,1,4,4,1,1,unacc
388,4,1,4,4,1,2,unacc
389,4,1,4,4,1,3,acc
390,4,1,4,4,2,1,unacc
391,4,1,4,4,2,2,acc
392,4,1,4,4,2,3,acc
393,4,1,4,4,3,1,unacc
394,4,1,4,4,3,2,acc
395,4,1,4,4,3,3,acc
396,4,1,4,6,1,1,unacc
397,4,1,4,6,1,2,unacc
398,4,1,4,6,1,3,acc
399,4,1,4,6,2,1,unacc
400,4,1,4,6,2,2,acc
401,4,1,4,6,2,3,acc
402,4,1,4,6,3,1,unacc
403,4,1,4,6,3,2,acc
404,4,1,4,6,3,3,acc
405,4,1,5,2,1,1,unacc
406,4,1,5,2,1,2,unacc
407,4,1,5,2,1,3,unacc
408,4,1,5,2,2,1,unacc
409,4,1,5,2,2,2,unacc
410,4,1,5,2,2,3,unacc
411,4,1,5,2,3,1,unacc
412,4,1,5,2,3,2,unacc
413,4,1,5,2,3,3,unacc
414,4,1,5,4,1,1,unacc
415,4,1,5,4,1,2,unacc
416,4,1,5,4,1,3,acc
417,4,1,5,4,2,1,unacc
418,4,1,5,4,2,2,acc
419,4,1,5,4,2,3,acc
420,4,1,5,4,3,1,unacc
421,4,1,5,4,3,2,acc
422,4,1,5,4,3,3,acc
423,4,1,5,6,1,1,unacc
424,4,1,5,6,1,2,unacc
425,4,1,5,6,1,3,acc
426,4,1,5,6,2,1,unacc
427,4,1,5,6,2,2,acc
428,4,1,5,6,2,3,acc
429,4,1,5,6,3,1,unacc
430,4,1,5,6,3,2,acc
431,4,1,5,6,3,3,acc
432,3,4,2,2,1,1,unacc
433,3,4,2,2,1,2,unacc
434,3,4,2,2,1,3,unacc
435,3,4,2,2,2,1,unacc
436,3,4,2,2,2,2,unacc
437,3,4,2,2,2,3,unacc
438,3,4,2,2,3,1,unacc
439,3,4,2,2,3,2,unacc
440,3,4,2,2,3,3,unacc
441,3,4,2,4,1,1,unacc
442,3,4,2,4,1,2,unacc
443,3,4,2,4,1,3,unacc
444,3,4,2,4,2,1,unacc
445,3,4,2,4,2,2,unacc
446,3,4,2,4,2,3,unacc
447,3,4,2,4,3,1,unacc
448,3,4,2,4,3,2,unacc
449,3,4,2,4,3,3,unacc
450,3,4,2,6,1,1,unacc
451,3,4,2,6,1,2,unacc
452,3,4,2,6,1,3,unacc
453,3,4,2,6,2,1,unacc
454,3,4,2,6,2,2,unacc
455,3,4,2,6,2,3,unacc
456,3,4,2,6,3,1,unacc
457,3,4,2,6,3,2,unacc
458,3,4,2,6,3,3,unacc
459,3,4,3,2,1,1,unacc
460,3,4,3,2,1,2,unacc
461,3,4,3,2,1,3,unacc
462,3,4,3,2,2,1,unacc
463,3,4,3,2,2,2,unacc
464,3,4,3,2,2,3,unacc
465,3,4,3,2,3,1,unacc
466,3,4,3,2,3,2,unacc
467,3,4,3,2,3,3,unacc
468,3,4,3,4,1,1,unacc
469,3,4,3,4,1,2,unacc
470,3,4,3,4,1,3,unacc
471,3,4,3,4,2,1,unacc
472,3,4,3,4,2,2,unacc
473,3,4,3,4,2,3,unacc
474,3,4,3,4,3,1,unacc
475,3,4,3,4,3,2,unacc
476,3,4,3,4,3,3,unacc
477,3,4,3,6,1,1,unacc
478,3,4,3,6,1,2,unacc
479,3,4,3,6,1,3,unacc
480,3,4,3,6,2,1,unacc
481,3,4,3,6,2,2,unacc
482,3,4,3,6,2,3,unacc
483,3,4,3,6,3,1,unacc
484,3,4,3,6,3,2,unacc
485,3,4,3,6,3,3,unacc
486,3,4,4,2,1,1,unacc
487,3,4,4,2,1,2,unacc
488,3,4,4,2,1,3,unacc
489,3,4,4,2,2,1,unacc
490,3,4,4,2,2,2,unacc
491,3,4,4,2,2,3,unacc
492,3,4,4,2,3,1,unacc
493,3,4,4,2,3,2,unacc
494,3,4,4,2,3,3,unacc
495,3,4,4,4,1,1,unacc
496,3,4,4,4,1,2,unacc
497,3,4,4,4,1,3,unacc
498,3,4,4,4,2,1,unacc
499,3,4,4,4,2,2,unacc
500,3,4,4,4,2,3,unacc
501,3,4,4,4,3,1,unacc
502,3,4,4,4,3,2,unacc
503,3,4,4,4,3,3,unacc
504,3,4,4,6,1,1,unacc
505,3,4,4,6,1,2,unacc
506,3,4,4,6,1,3,unacc
507,3,4,4,6,2,1,unacc
508,3,4,4,6,2,2,unacc
509,3,4,4,6,2,3,unacc
510,3,4,4,6,3,1,unacc
511,3,4,4,6,3,2,unacc
512,3,4,4,6,3,3,unacc
513,3,4,5,2,1,1,unacc
514,3,4,5,2,1,2,unacc
515,3,4,5,2,1,3,unacc
516,3,4,5,2,2,1,unacc
517,3,4,5,2,2,2,unacc
518,3,4,5,2,2,3,unacc
519,3,4,5,2,3,1,unacc
520,3,4,5,2,3,2,unacc
521,3,4,5,2,3,3,unacc
522,3,4,5,4,1,1,unacc
523,3,4,5,4,1,2,unacc
524,3,4,5,4,1,3,unacc
525,3,4,5,4,2,1,unacc
526,3,4,5,4,2,2,unacc
527,3,4,5,4,2,3,unacc
528,3,4,5,4,3,1,unacc
529,3,4,5,4,3,2,unacc
530,3,4,5,4,3,3,unacc
531,3,4,5,6,1,1,unacc
532,3,4,5,6,1,2,unacc
533,3,4,5,6,1,3,unacc
534,3,4,5,6,2,1,unacc
535,3,4,5,6,2,2,unacc
536,3,4,5,6,2,3,unacc
537,3,4,5,6,3,1,unacc
538,3,4,5,6,3,2,unacc
539,3,4,5,6,3,3,unacc
540,3,3,2,2,1,1,unacc
541,3,3,2,2,1,2,unacc
542,3,3,2,2,1,3,unacc
543,3,3,2,2,2,1,unacc
544,3,3,2,2,2,2,unacc
545,3,3,2,2,2,3,unacc
546,3,3,2,2,3,1,unacc
547,3,3,2,2,3,2,unacc
548,3,3,2,2,3,3,unacc
549,3,3,2,4,1,1,unacc
550,3,3,2,4,1,2,unacc
551,3,3,2,4,1,3,acc
552,3,3,2,4,2,1,unacc
553,3,3,2,4,2,2,unacc
554,3,3,2,4,2,3,acc
555,3,3,2,4,3,1,unacc
556,3,3,2,4,3,2,acc
557,3,3,2,4,3,3,acc
558,3,3,2,6,1,1,unacc
559,3,3,2,6,1,2,unacc
560,3,3,2,6,1,3,unacc
561,3,3,2,6,2,1,unacc
562,3,3,2,6,2,2,unacc
563,3,3,2,6,2,3,acc
564,3,3,2,6,3,1,unacc
565,3,3,2,6,3,2,acc
566,3,3,2,6,3,3,acc
567,3,3,3,2,1,1,unacc
568,3,3,3,2,1,2,unacc
569,3,3,3,2,1,3,unacc
570,3,3,3,2,2,1,unacc
571,3,3,3,2,2,2,unacc
572,3,3,3,2,2,3,unacc
573,3,3,3,2,3,1,unacc
574,3,3,3,2,3,2,unacc
575,3,3,3,2,3,3,unacc
576,3,3,3,4,1,1,unacc
577,3,3,3,4,1,2,unacc
578,3,3,3,4,1,3,acc
579,3,3,3,4,2,1,unacc
580,3,3,3,4,2,2,unacc
581,3,3,3,4,2,3,acc
582,3,3,3,4,3,1,unacc
